latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
17.58725,-90.77688,310.46,0.42,0.38,2022-05-08,0748,N,nominal,2.0NRT,295.73,1.03,N
18.1316,-94.20242,322.98,0.4,0.37,2022-05-08,0748,N,nominal,2.0NRT,296.99,1.53,N
18.75214,-98.80937,313.31,0.44,0.46,2022-05-08,0748,N,nominal,2.0NRT,289.64,2.01,N
18.0928,-94.04825,330.52,0.39,0.36,2022-05-08,0748,N,nominal,2.0NRT,301.43,22.33,N
18.09223,-94.04454,309.85,0.39,0.36,2022-05-08,0748,N,nominal,2.0NRT,297.46,4.87,N
18.13632,-94.35839,315.61,0.4,0.37,2022-05-08,0748,N,nominal,2.0NRT,296.33,0.93,N
18.7529,-98.80759,325.36,0.44,0.46,2022-05-08,0748,N,nominal,2.0NRT,290.22,3.49,N
18.54756,-97.45603,297,0.54,0.42,2022-05-08,0748,N,nominal,2.0NRT,286.71,0.52,N
17.94433,-93.28265,312.6,0.38,0.36,2022-05-08,0748,N,nominal,2.0NRT,294.92,0.79,N
18.29433,-95.64983,312.14,0.44,0.38,2022-05-08,0748,N,nominal,2.0NRT,296.12,1.31,N
18.11104,-94.39725,311.2,0.4,0.37,2022-05-08,0748,N,nominal,2.0NRT,295.02,1.75,N
18.10315,-94.34454,314.67,0.4,0.37,2022-05-08,0748,N,nominal,2.0NRT,296.18,1.3,N
18.10034,-94.34885,307.28,0.4,0.37,2022-05-08,0748,N,nominal,2.0NRT,295.74,0.85,N
18.0146,-93.84962,327.19,0.39,0.36,2022-05-08,0748,N,nominal,2.0NRT,298.07,3.94,N
18.01124,-93.82759,305.43,0.39,0.36,2022-05-08,0748,N,nominal,2.0NRT,295.03,1.44,N
18.01126,-93.85017,307.59,0.39,0.36,2022-05-08,0748,N,nominal,2.0NRT,295.62,1.8,N
19.13817,-102.77519,321.65,0.4,0.6,2022-05-08,0748,N,nominal,2.0NRT,290.27,1.63,N
19.13856,-102.77901,301.71,0.4,0.6,2022-05-08,0748,N,nominal,2.0NRT,289.64,1.49,N
17.90208,-93.18594,332.89,0.38,0.36,2022-05-08,0748,N,nominal,2.0NRT,296.83,13.95,N
17.90152,-93.18233,333.1,0.38,0.36,2022-05-08,0748,N,nominal,2.0NRT,301.77,13.95,N
17.90096,-93.17872,323,0.38,0.36,2022-05-08,0748,N,nominal,2.0NRT,295.54,2.16,N
18.00292,-93.84027,305.6,0.39,0.36,2022-05-08,0748,N,nominal,2.0NRT,295.42,1.35,N
17.89821,-93.1829,331.18,0.38,0.36,2022-05-08,0748,N,nominal,2.0NRT,294.94,13.95,N
17.89878,-93.18651,312.53,0.38,0.36,2022-05-08,0748,N,nominal,2.0NRT,295.33,13.95,N
17.8949,-93.18346,324.59,0.38,0.36,2022-05-08,0748,N,nominal,2.0NRT,295.04,4.48,N
17.89377,-93.17623,321.48,0.38,0.36,2022-05-08,0748,N,nominal,2.0NRT,295.58,2.56,N
19.1733,-103.30353,299.34,0.43,0.62,2022-05-08,0748,N,nominal,2.0NRT,289.06,0.6,N
17.89159,-93.18403,326.29,0.38,0.36,2022-05-08,0748,N,nominal,2.0NRT,295.89,4.48,N
17.89215,-93.18764,318.41,0.38,0.36,2022-05-08,0748,N,nominal,2.0NRT,295.42,4.48,N
17.88997,-93.19543,314.25,0.38,0.36,2022-05-08,0748,N,nominal,2.0NRT,295.2,1.25,N
18.40157,-96.74293,329.84,0.49,0.41,2022-05-08,0748,N,nominal,2.0NRT,295.38,4.3,N
18.28853,-95.91749,315.82,0.45,0.39,2022-05-08,0748,N,nominal,2.0NRT,295.02,1.71,N
17.91474,-93.37681,318.89,0.39,0.36,2022-05-08,0748,N,nominal,2.0NRT,295.14,0.87,N
17.58323,-91.35725,322.28,0.4,0.37,2022-05-08,0748,N,nominal,2.0NRT,295.95,2.09,N
18.83747,-100.34491,311.2,0.55,0.51,2022-05-08,0748,N,nominal,2.0NRT,291.92,2.94,N
18.83666,-100.33765,316.42,0.55,0.51,2022-05-08,0748,N,nominal,2.0NRT,290.98,1.47,N
19.03957,-102.34628,311.23,0.37,0.58,2022-05-08,0748,N,nominal,2.0NRT,291.44,1.5,N
19.03915,-102.3421,305.59,0.37,0.58,2022-05-08,0748,N,nominal,2.0NRT,291.05,0.83,N
